"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"CDX",8568,4385,4183,224.308729227,-213.02761982,11.281109407
"CDX",8626,4423,4203,228.779894857,-211.12813063,17.651764227
"CDX",8629,4144,4485,228.307124457,-217.54099358,10.766130877
"CDX",8780,3747,5033,189.904264527,-258.98675592,-69.082491393
"CDX",8739,4426,4313,240.066148227,-208.77162697,31.294521257
"CDX",8714,4580,4134,244.543998614,-201.62788186,42.916116754
"CDX",8757,4414,4343,238.279380227,-210.32613682,27.953243407
"CDX",8666,4038,4628,212.750320044,-233.17739062,-20.427070576
"CDX",8665,4182,4483,220.532110314,-226.85656686,-6.324456546
"PUR",8817,4228,4589,225.705183057,-230.41105328,-4.705870223
"PUR",8869,4765,4104,251.048808557,-206.38140733,44.667401227
"PUR",8582,4139,4443,208.606943887,-232.22730943,-23.620365543
"PUR",8488,4465,4023,229.920775627,-207.16065497,22.760120657
"PUR",8794,4579,4215,235.763262064,-211.19268186,24.570580204
"PUR",8791,4193,4598,212.014663754,-233.94483172,-21.930167966
"PUR",8628,5116,3512,282.028297974,-165.36279548,116.665502494
"PUR",8653,4180,4473,225.576843537,-220.25630753,5.320536007
"PUR",8612,4189,4423,195.221856214,-243.21296496,-47.991108746
"PUR",8965,4747,4218,259.446124344,-200.43477222,59.011352124
"PUR",8626,4585,4041,222.703941927,-217.14802922,5.555912707
"PUR",8576,4557,4019,225.561618907,-212.09195533,13.469663577
"PUR",8730,4799,3931,230.773746914,-212.28162736,18.492119554
"PUR",8707,4905,3802,251.089737564,-197.74397476,53.345762804
"PUR",8717,4191,4526,217.118209924,-228.43840896,-11.320199036
"PUR",8749,4627,4122,233.439971587,-220.44958382,12.990387767
"PUR",8740,4399,4341,220.476151344,-224.67942972,-4.203278376
"PUR",8697,4503,4194,234.952456274,-211.05643788,23.896018394
"PUR",8632,4225,4407,192.975896737,-244.76139913,-51.785502393
"PUR",8674,4032,4642,206.697051214,-233.93844736,-27.241396146
"PUR",8745,4751,3994,250.221898427,-198.24844637,51.973452057
"PUR",8525,4099,4426,193.353814794,-239.19699572,-45.843180926
"PUR",8643,4452,4191,219.7003349,-221.5927174,-1.8923825
"PUR",8573,4506,4067,222.208058874,-215.58591126,6.622147614
"PUR",8633,5077,3556,273.987367037,-172.76635943,101.221007607
"PUR",8836,4654,4182,258.291099794,-200.71868502,57.572414774
"PUR",8788,4340,4448,214.141319814,-234.73159426,-20.590274446
"PUR",8786,4725,4061,226.73797712,-219.27420283,7.46377429
"PUR",8562,4060,4502,203.846490377,-229.35846282,-25.511972443
"PUR",8742,4394,4348,208.157545677,-234.40445162,-26.246905943
"PUR",8685,4230,4455,194.709482757,-243.77873518,-49.069252423
"PUR",8749,4589,4160,224.424981277,-221.87107307,2.553908207
"PUR",8809,4771,4038,278.651886157,-186.30256273,92.349323427
"PUR",8621,4299,4322,213.22657957,-229.36057923,-16.13399966
"PUR",8720,4704,4016,239.235891157,-204.86525593,34.370635227
"PUR",8746,4711,4035,227.603868444,-217.79321512,9.810653324
"PUR",8625,4679,3946,245.903753907,-195.27298447,50.630769437
"PUR",8667,4708,3959,254.952955507,-192.26094047,62.692015037
"PUR",8529,3955,4574,190.193219737,-246.85354267,-56.660322933
"PUR",8659,4668,3991,250.431754677,-194.65948022,55.772274457
"PUR",8709,4681,4028,225.572272907,-221.53177187,4.040501037
"CLM",8843,4232,4611,208.741583407,-240.71432708,-31.972743673
"CLM",8723,4676,4047,234.771873744,-209.55931542,25.212558324
"CLM",8776,5353,3423,262.982076144,-183.05961332,79.922462824
"CLM",8752,4326,4426,211.266140704,-233.93379552,-22.667654816
"CLM",8651,4025,4626,181.980929727,-256.73371167,-74.752781943
"CLM",8670,4505,4165,239.349598007,-204.91212813,34.437469877
"CLM",8733,4046,4687,206.345613337,-239.41896014,-33.073346803
"CLM",8769,4099,4670,196.411029227,-250.57225902,-54.161229793
"CLM",8773,4762,4011,242.647450244,-204.20994772,38.437502524
"CLM",8907,4976,3931,264.475529817,-196.61810573,67.857424087
"CLM",8592,4256,4336,209.515687627,-230.37569912,-20.860011493
"CLM",8616,4674,3942,232.292378477,-212.87506252,19.417315957
"CLM",8668,4725,3943,250.152286177,-194.94384482,55.208441357
"CLM",8821,4856,3965,253.824883927,-197.77283582,56.052048107
"CLM",8695,5059,3636,260.12279809,-187.15598973,72.96680836
"CLM",8748,4316,4432,214.6499617,-230.44499559,-15.79503389
"CLM",8665,4509,4156,245.887855564,-201.55494156,44.332914004
"CLM",8670,4238,4432,213.911191507,-226.31149968,-12.400308173
"PUR",8721,4521,4200,225.974858014,-221.21806316,4.756794854
"PUR",8764,4469,4295,218.896049164,-227.48482856,-8.588779396
"PUR",8733,4798,3935,233.02837554,-211.12229028,21.90608526
"PUR",8741,4151,4590,209.888833507,-237.80376987,-27.914936363
"PUR",8737,4235,4502,227.953510364,-216.82689896,11.126611404
"PUR",8901,4893,4008,261.297674927,-197.44533512,63.852339807
"PUR",8619,4369,4250,227.451665164,-214.13401516,13.317650004
"PUR",8887,4583,4304,231.722969644,-222.68901012,9.033959524
"PUR",8683,4505,4178,217.892066344,-222.23797952,-4.345913176
"PUR",8600,4853,3747,244.658937657,-199.09496493,45.563972727
"PUR",8732,5082,3650,249.392546354,-198.05222932,51.340317034
"PUR",8741,4291,4450,220.782329014,-233.05407806,-12.271749046
"PUR",8762,4293,4469,232.943823964,-217.41773946,15.526084504
"PUR",8713,3883,4830,196.475431744,-247.30459592,-50.829164176
"PUR",8803,5030,3773,283.700170357,-175.80911513,107.891055227
"PUR",8768,4298,4470,211.770891057,-233.58819613,-21.817305073
"PUR",8729,4649,4080,237.646429194,-209.78837702,27.858052174
"PUR",8781,4271,4510,207.012273457,-238.21153133,-31.199257873
"PUR",8682,4633,4049,229.507881927,-215.69177922,13.816102707
"PUR",8671,4565,4106,228.485184874,-210.62293296,17.862251914
"PUR",8696,4459,4237,207.183767214,-236.46111466,-29.277347446
"PUR",8711,4337,4374,215.16529422,-230.36254469,-15.19725047
"PUR",8431,4233,4198,212.515682714,-217.06932696,-4.553644246
"PUR",8489,4087,4402,197.240826687,-235.01563863,-37.774811943
"PUR",8691,4813,3878,229.875860827,-209.78273322,20.093127607
"PUR",8772,4731,4041,250.996067714,-203.34033546,47.655732254
"CLM",8868,4233,4635,196.738952857,-255.59830978,-58.859356923
"CLM",8782,4256,4526,202.87146974,-244.09555873,-41.22408899
"CLM",8728,4604,4124,233.824331977,-215.70136107,18.122970907
"CLM",8640,4376,4264,212.802932914,-229.07208386,-16.269150946
"CLM",8663,3813,4850,185.41612394,-260.68533288,-75.26920894
